ProviderID,ProviderName,NPI_Number_Input,PracticeAddress_Input,PracticePhone_Input,PrimarySpecialty_Input,StateLicense_Input,LicenseExpirationDate_Input,Source_Input
1,Dr. David Johnson,1567162636,"922 Smith St, Philadelphia, PA 50839",(832) 145-9055,Family Practice,CA849017,2027-09-22,Synthetic-Directory
2,Dr. Michael Miller,7807965578,"871 Smith Ave, Los Angeles, TX 43959",(112) 320-9968,Dermatology,CA694464,2027-02-19,Synthetic-Directory
3,Dr. Andrew Miller,8315984253,"812 Williams Pkwy, Philadelphia, TX 80648",(990) 648-4914,Dermatology,CA421961,2028-01-23,Synthetic-Directory
4,Dr. Maria Jones,2970264700,"661 Davis Pkwy, Phoenix, NY 29788",(294) 689-2114,Family Practice,CA842725,2027-06-22,Synthetic-Directory
5,Dr. Maria Smith,6667058875,"210 Johnson Ave, New York, NY 11557",(240) 337-5213,Orthopedics,CA304662,2027-11-22,Synthetic-Directory
6,Dr. Michael Brown,8712459066,"445 Johnson Rd, Los Angeles, NY 41373",(925) 597-6109,Orthopedics,CA682491,2028-02-26,Synthetic-Directory
7,Dr. Michael Johnson,6888364714,"957 Brown Ave, Los Angeles, IL 84745",(858) 297-3282,,CA681050,2027-01-07,Synthetic-Directory
8,Dr. David Jones,1767075746,"942 Williams Rd, New York, CA 32876",555-548-6848,Dermatology,CA975321,2027-02-18,Synthetic-Directory
9,Dr. Robert Brown,8133085274,"376 Johnson Ave, Phoenix, AZ 96087",555-336-1544,Cardiology,CA392855,2027-09-24,Synthetic-Directory
10,Dr. Sarah Williams,6124131817,"328 Garcia Ln, Philadelphia, CA 16559",(885) 391-9349,Orthopedics,CA394897,2025-03-07,Synthetic-Directory
11,Dr. Michael Jones,5637582632,"153 Williams Rd, Chicago, PA 70760",555-427-8987,Cardiology,CA776343,2027-01-10,Synthetic-Directory
12,Dr. Jane Williams,7770639942,"862 Smith Pkwy, Phoenix, IL 83609",(730) 968-6831,Family Practice,CA993983,2025-10-15,Synthetic-Directory
13,Dr. Maria Johnson,7971135107,"663 Brown St, Chicago, AZ 30057",(383) 987-1670,Dermatology,CA723951,2027-12-16,Synthetic-Directory
14,Dr. Robert Rodriguez,6832072541,"180 Miller Ln, Chicago, TX 71119",555-838-9184,Orthopedics,CA821457,2027-05-09,Synthetic-Directory
15,Dr. Jane Smith,9819600924,"788 Williams Pkwy, Los Angeles, AZ 84089",(103) 449-9521,Dermatology,CA147326,2027-08-09,Synthetic-Directory
16,Dr. Andrew Williams,1954259303,"169 Garcia St, Houston, IL 82723",(330) 697-4001,Dermatology,CA745909,2027-09-01,Synthetic-Directory
17,Dr. Michael Rodriguez,3288033255,"277 Johnson Ln, Houston, IL 21593",(491) 690-2828,Dermatology,CA166579,2026-09-27,Synthetic-Directory
18,Dr. Michael Rodriguez,8422989414,"171 Wilson Ln, New York, TX 34673",(776) 714-3310,Cardiology,CA833488,2027-07-24,Synthetic-Directory
19,Dr. William Williams,7161185167,"947 Jones Ln, Los Angeles, IL 55237",555-284-6058,,CA653919,2027-11-23,Synthetic-Directory
20,Dr. Robert Rodriguez,6587578791,"300 Smith St, Phoenix, TX 55676",(120) 201-3404,Internal Medicine,CA784479,2025-09-12,Synthetic-Directory
21,Dr. Jane Davis,9652753056,"336 Smith St, Los Angeles, IL 22560",(559) 228-3485,Internal Medicine,CA682486,2026-11-21,Synthetic-Directory
22,Dr. Michael Johnson,4003559448,"721 Smith Pkwy, New York, AZ 16380",(311) 820-4869,Internal Medicine,CA129862,2025-02-24,Synthetic-Directory
23,Dr. Michael Jones,6647775866,"813 Brown Ln, Phoenix, CA 75534",(472) 660-4179,Cardiology,CA785334,2025-02-19,Synthetic-Directory
24,Dr. Andrew Brown,1869438364,"610 Jones Pkwy, Los Angeles, IL 91217",555-558-1286,Pediatrics,CA212628,2027-07-08,Synthetic-Directory
25,Dr. Michael Smith,1370935165,"354 Johnson Ave, Philadelphia, PA 79722",555-167-6609,Pediatrics,CA943556,2025-12-02,Synthetic-Directory
26,Dr. Jessica Davis,5945386102,"482 Garcia Ln, Philadelphia, NY 56868",(405) 693-4968,Cardiology,CA549082,2027-01-22,Synthetic-Directory
27,Dr. Sarah Brown,5716230540,"195 Davis Ln, Phoenix, CA 14844",(529) 150-8868,Orthopedics,CA584336,2025-09-22,Synthetic-Directory
28,Dr. Robert Davis,2936983623,"353 Rodriguez Pkwy, Philadelphia, TX 90375",(685) 941-5703,Cardiology,CA837549,2025-01-10,Synthetic-Directory
29,Dr. Sarah Garcia,3859252465,"268 Davis Pkwy, Chicago, TX 50831",(456) 880-7269,Cardiology,CA507210,2027-01-28,Synthetic-Directory
30,Dr. Robert Jones,5783760793,"443 Miller Ln, Houston, NY 61666",(904) 457-2716,Cardiology,CA435465,2025-05-03,Synthetic-Directory
31,Dr. Maria Rodriguez,5721963158,"703 Johnson St, New York, PA 76538",555-304-2256,Internal Medicine,CA339027,2027-04-10,Synthetic-Directory
32,Dr. Sarah Smith,371923939,"683 Williams Rd, Phoenix, PA 58865",(391) 412-9239,Pediatrics,CA500217,2025-03-02,Synthetic-Directory
33,Dr. Andrew Miller,9746223652,"839 Smith St, Houston, IL 10637",(609) 659-4227,Family Practice,CA519707,2027-08-13,Synthetic-Directory
34,Dr. David Williams,8390608648,"644 Wilson Ln, Chicago, CA 78178",(952) 948-1235,Orthopedics,CA260795,2025-11-23,Synthetic-Directory
35,Dr. Jessica Jones,8722259907,"961 Wilson Ave, Houston, CA 23886",555-708-7548,Cardiology,CA706749,2027-10-18,Synthetic-Directory
36,Dr. Maria Jones,1261595971,"818 Garcia Ln, Chicago, PA 51152",(428) 290-3491,Dermatology,CA591078,2026-11-05,Synthetic-Directory
37,Dr. Jessica Davis,4112841430,"461 Williams Ln, Los Angeles, IL 53960",(831) 293-7207,Cardiology,CA787021,2027-12-18,Synthetic-Directory
38,Dr. Robert Williams,3147757634,"599 Brown Rd, Houston, PA 83856",(836) 542-1194,Cardiology,CA845257,2025-03-02,Synthetic-Directory
39,Dr. Emily Williams,2813511220,"141 Wilson Ave, Philadelphia, PA 22810",555-108-3341,Internal Medicine,CA450399,2025-11-05,Synthetic-Directory
40,Dr. Emily Wilson,6870919102,"118 Jones Ln, Phoenix, TX 32408",(744) 880-9354,Orthopedics,CA975801,2026-12-26,Synthetic-Directory
41,Dr. Andrew Smith,4345775820,"143 Miller Pkwy, Los Angeles, NY 75139",(360) 491-4214,Dermatology,CA771042,2027-11-29,Synthetic-Directory
42,Dr. David Brown,3221463457,"546 Williams Ln, New York, AZ 15104",(134) 971-2861,Cardiology,CA471251,2025-02-07,Synthetic-Directory
43,Dr. Sarah Williams,412399065,"477 Brown St, Phoenix, PA 95723",(258) 747-2206,,CA360582,2027-09-23,Synthetic-Directory
44,Dr. Andrew Johnson,2360203074,"376 Garcia Ave, Phoenix, PA 92622",555-428-7225,Family Practice,CA539491,2027-02-10,Synthetic-Directory
45,Dr. William Johnson,6857515773,"863 Williams Ln, New York, IL 19120",555-106-1701,Dermatology,CA988795,2027-08-22,Synthetic-Directory
46,Dr. Emily Brown,1592669481,"774 Wilson Ln, Philadelphia, CA 16362",555-133-3190,Internal Medicine,CA398756,2027-11-16,Synthetic-Directory
47,Dr. David Smith,5134914404,"817 Smith Rd, Houston, IL 71101",555-420-4574,Orthopedics,CA223760,2028-01-24,Synthetic-Directory
48,Dr. Jane Johnson,5390839205,"602 Rodriguez Ave, Los Angeles, CA 72324",(713) 720-6308,Family Practice,CA961618,2027-02-02,Synthetic-Directory
49,Dr. Jessica Rodriguez,9160826651,"825 Garcia St, New York, TX 37489",(227) 136-6658,Cardiology,CA952484,2025-06-13,Synthetic-Directory
50,Dr. Maria Garcia,7512051745,"770 Miller Ave, Philadelphia, NY 37661",(754) 954-1643,Orthopedics,CA922983,2026-12-14,Synthetic-Directory
51,Dr. William Miller,3592990890,"887 Miller Pkwy, Phoenix, AZ 19877",555-852-7405,Pediatrics,CA494089,2025-08-28,Synthetic-Directory
52,Dr. Emily Wilson,4172744639,"180 Garcia Ln, New York, AZ 53780",(273) 215-8892,Dermatology,CA936901,2027-03-09,Synthetic-Directory
53,Dr. David Brown,3142232517,"501 Davis St, Phoenix, CA 26027",(920) 549-9469,,CA209724,2028-02-28,Synthetic-Directory
54,Dr. Michael Jones,7297244676,"389 Davis Ln, Philadelphia, CA 10954",(719) 170-2229,,CA734836,2027-05-18,Synthetic-Directory
55,Dr. Robert Wilson,7342957668,"221 Williams Ave, Phoenix, IL 53779",(279) 483-2385,Pediatrics,CA132410,2027-02-14,Synthetic-Directory
56,Dr. Sarah Wilson,5008078322,"950 Jones Ave, Phoenix, IL 14919",(656) 854-7331,Orthopedics,CA807122,2025-05-20,Synthetic-Directory
57,Dr. Emily Johnson,4372783433,"628 Davis Pkwy, Los Angeles, CA 39665",555-451-3310,,CA503285,2025-07-29,Synthetic-Directory
